"column","class","n_unique","is_categorical","skipped_levels"
"orig.ident","character",1,TRUE,FALSE
"nCount_Spatial","numeric",8738,FALSE,TRUE
"nFeature_Spatial","integer",5084,FALSE,TRUE
"nCount_SCT","numeric",7302,FALSE,TRUE
"nFeature_SCT","integer",4046,FALSE,TRUE
"Region","factor",6,TRUE,FALSE
"GEMgroup","factor",16,TRUE,FALSE
"Position","character",2,TRUE,FALSE
"Age","factor",3,TRUE,FALSE
"percentMito","numeric",9918,FALSE,TRUE
"percentRibo","numeric",9907,FALSE,TRUE
"SCT_snn_res.1","factor",21,TRUE,FALSE
"seurat_clusters","factor",21,TRUE,FALSE
"Position_Region","character",12,TRUE,FALSE
"Age_Region","character",18,TRUE,FALSE
"Age_Position","character",6,TRUE,FALSE
"Age_Position_Region","character",34,TRUE,FALSE
