"column","level","count"
"orig.ident","SeuratProject",9921
"Region","CA1",4671
"Region","CA2",565
"Region","CA3",2321
"Region","ML",1480
"Region","GCL",645
"Region","Hilus",239
"GEMgroup","1",637
"GEMgroup","2",528
"GEMgroup","3",756
"GEMgroup","4",562
"GEMgroup","5",662
"GEMgroup","6",645
"GEMgroup","7",562
"GEMgroup","8",533
"GEMgroup","9",697
"GEMgroup","10",568
"GEMgroup","11",547
"GEMgroup","12",608
"GEMgroup","13",681
"GEMgroup","14",691
"GEMgroup","15",569
"GEMgroup","16",675
"Position","Anterior",4810
"Position","Posterior",5111
"Age","Young",2483
"Age","Middle",2402
"Age","Old",5036
"SCT_snn_res.1","0",1117
"SCT_snn_res.1","1",941
"SCT_snn_res.1","2",807
"SCT_snn_res.1","3",676
"SCT_snn_res.1","4",643
"SCT_snn_res.1","5",575
"SCT_snn_res.1","6",568
"SCT_snn_res.1","7",562
"SCT_snn_res.1","8",551
"SCT_snn_res.1","9",547
"SCT_snn_res.1","10",492
"SCT_snn_res.1","11",481
"SCT_snn_res.1","12",365
"SCT_snn_res.1","13",362
"SCT_snn_res.1","14",300
"SCT_snn_res.1","15",278
"SCT_snn_res.1","16",268
"SCT_snn_res.1","17",238
"SCT_snn_res.1","18",61
"SCT_snn_res.1","19",49
"SCT_snn_res.1","20",40
"seurat_clusters","0",1117
"seurat_clusters","1",941
"seurat_clusters","2",807
"seurat_clusters","3",676
"seurat_clusters","4",643
"seurat_clusters","5",575
"seurat_clusters","6",568
"seurat_clusters","7",562
"seurat_clusters","8",551
"seurat_clusters","9",547
"seurat_clusters","10",492
"seurat_clusters","11",481
"seurat_clusters","12",365
"seurat_clusters","13",362
"seurat_clusters","14",300
"seurat_clusters","15",278
"seurat_clusters","16",268
"seurat_clusters","17",238
"seurat_clusters","18",61
"seurat_clusters","19",49
"seurat_clusters","20",40
"Position_Region","Anterior_CA1",1879
"Position_Region","Anterior_CA2",477
"Position_Region","Anterior_CA3",1094
"Position_Region","Anterior_GCL",385
"Position_Region","Anterior_Hilus",111
"Position_Region","Anterior_ML",864
"Position_Region","Posterior_CA1",2792
"Position_Region","Posterior_CA2",88
"Position_Region","Posterior_CA3",1227
"Position_Region","Posterior_GCL",260
"Position_Region","Posterior_Hilus",128
"Position_Region","Posterior_ML",616
"Age_Region","Middle_CA1",1221
"Age_Region","Middle_CA2",110
"Age_Region","Middle_CA3",552
"Age_Region","Middle_GCL",140
"Age_Region","Middle_Hilus",46
"Age_Region","Middle_ML",333
"Age_Region","Old_CA1",2232
"Age_Region","Old_CA2",374
"Age_Region","Old_CA3",1382
"Age_Region","Old_GCL",284
"Age_Region","Old_Hilus",91
"Age_Region","Old_ML",673
"Age_Region","Young_CA1",1218
"Age_Region","Young_CA2",81
"Age_Region","Young_CA3",387
"Age_Region","Young_GCL",221
"Age_Region","Young_Hilus",102
"Age_Region","Young_ML",474
"Age_Position","Middle_Anterior",1178
"Age_Position","Middle_Posterior",1224
"Age_Position","Old_Anterior",2542
"Age_Position","Old_Posterior",2494
"Age_Position","Young_Anterior",1090
"Age_Position","Young_Posterior",1393
"Age_Position_Region","Middle_Anterior_CA1",511
"Age_Position_Region","Middle_Anterior_CA2",110
"Age_Position_Region","Middle_Anterior_CA3",252
"Age_Position_Region","Middle_Anterior_GCL",87
"Age_Position_Region","Middle_Anterior_Hilus",25
"Age_Position_Region","Middle_Anterior_ML",193
"Age_Position_Region","Middle_Posterior_CA1",710
"Age_Position_Region","Middle_Posterior_CA3",300
"Age_Position_Region","Middle_Posterior_GCL",53
"Age_Position_Region","Middle_Posterior_Hilus",21
"Age_Position_Region","Middle_Posterior_ML",140
"Age_Position_Region","Old_Anterior_CA1",940
"Age_Position_Region","Old_Anterior_CA2",286
"Age_Position_Region","Old_Anterior_CA3",636
"Age_Position_Region","Old_Anterior_GCL",184
"Age_Position_Region","Old_Anterior_Hilus",59
"Age_Position_Region","Old_Anterior_ML",437
"Age_Position_Region","Old_Posterior_CA1",1292
"Age_Position_Region","Old_Posterior_CA2",88
"Age_Position_Region","Old_Posterior_CA3",746
"Age_Position_Region","Old_Posterior_GCL",100
"Age_Position_Region","Old_Posterior_Hilus",32
"Age_Position_Region","Old_Posterior_ML",236
"Age_Position_Region","Young_Anterior_CA1",428
"Age_Position_Region","Young_Anterior_CA2",81
"Age_Position_Region","Young_Anterior_CA3",206
"Age_Position_Region","Young_Anterior_GCL",114
"Age_Position_Region","Young_Anterior_Hilus",27
"Age_Position_Region","Young_Anterior_ML",234
"Age_Position_Region","Young_Posterior_CA1",790
"Age_Position_Region","Young_Posterior_CA3",181
"Age_Position_Region","Young_Posterior_GCL",107
"Age_Position_Region","Young_Posterior_Hilus",75
"Age_Position_Region","Young_Posterior_ML",240
