"image_name","image_class","spatial_key","coord_columns","x_min","x_max","y_min","y_max","n_spots"
"slice1","VisiumV1","slice1_","imagecol, imagerow",133.942826464,383.776616704,297.9554684,493.571336796,637
"slice1_2","VisiumV1","slice1_","imagecol, imagerow",157.741863668,505.265153924,331.254173676,520.212794368,528
"slice1_3","VisiumV1","slice1_","imagecol, imagerow",144.165566384,430.47708468,117.112705864,400.669071084,756
"slice1_4","VisiumV1","slice1_","imagecol, imagerow",143.292893464,516.223432448,162.641298776,389.112388272,562
"slice1_5","VisiumV1","slice1_","imagecol, imagerow",144.327634212,434.067510408,230.111382248,444.4398514,662
"slice1_6","VisiumV1","slice1_","imagecol, imagerow",98.23803728,496.600758504,207.284752012,452.593109824,645
"slice1_7","VisiumV1","slice1_","imagecol, imagerow",121.376336416,378.602912964,244.996688912,427.647131068,562
"slice1_8","VisiumV1","slice1_","imagecol, imagerow",134.628498044,475.070670892,107.513303744,296.52179146,533
"slice1_9","VisiumV1","slice1_","imagecol, imagerow",132.097746576,421.862556284,223.317000228,462.790916232,697
"slice1_10","VisiumV1","slice1_","imagecol, imagerow",122.573144992,426.6747241,143.392627512,401.629011296,568
"slice1_11","VisiumV1","slice1_","imagecol, imagerow",54.217921844,347.610557548,118.022779052,300.82282228,547
"slice1_12","VisiumV1","slice1_","imagecol, imagerow",114.083284156,458.066015708,163.414237648,453.203980868,608
"slice1_13","VisiumV1","slice1_","imagecol, imagerow",115.791229728,394.784762252,147.706125088,368.180704948,681
"slice1_14","VisiumV1","slice1_","imagecol, imagerow",114.207951716,421.825156016,143.267959952,445.885995096,691
"slice1_15","VisiumV1","slice1_","imagecol, imagerow",93.912072948,376.446164176,225.074812824,401.728745344,569
"slice1_16","VisiumV1","slice1_","imagecol, imagerow",56.78607358,400.793738644,113.173210968,403.062688236,675
